st,yr,mn,max_temp,min_temp,rain,rel_hum,wind,cloud,sun
Rajshahi,2013,7,36.7,26.7,101.0,84.0,2.6,5.4,5.7
Rajshahi,2013,8,36.6,26.3,254.0,87.0,2.3,6.0,4.2
Rajshahi,2013,9,37.9,26.3,238.0,84.0,1.6,5.1,6.2
Rajshahi,2013,10,34.8,23.4,204.0,87.0,2.4,4.3,5.2
Rajshahi,2013,11,32.0,16.2,0.0,77.0,2.3,0.7,8.0
Rajshahi,2013,12,29.3,12.7,0.0,81.0,1.8,0.6,4.7
Rangamati,2013,1,30.0,10.4,0.0,75.0,1.2,0.4,7.9
Rangamati,2013,2,35.0,14.6,2.0,63.0,1.7,1.4,8.3
Rangamati,2013,3,37.0,18.9,2.0,64.0,1.7,1.9,8.2
Rangamati,2013,4,37.5,22.7,83.0,69.0,2.3,2.6,8.4
Rangamati,2013,5,35.5,23.7,435.0,80.0,2.1,5.9,3.8
Rangamati,2013,6,36.0,25.4,280.0,83.0,1.6,5.5,5.3
Rangamati,2013,7,35.5,24.9,274.0,84.0,1.6,5.4,5.0
Rangamati,2013,8,34.0,25.0,200.0,86.0,1.8,5.6,3.7
Rangamati,2013,9,35.4,24.4,476.0,84.0,1.0,5.5,5.6
Rangamati,2013,10,34.5,23.1,198.0,87.0,1.2,4.8,5.9
Rangamati,2013,11,32.0,17.8,0.0,82.0,1.1,1.9,8.3
Rangamati,2013,12,30.4,14.5,0.0,82.0,1.1,1.0,7.1
Rangpur,2013,1,26.8,9.1,0.0,80.0,1.6,1.1,5.2
Rangpur,2013,2,31.0,14.2,14.0,73.0,2.0,1.8,7.4
Rangpur,2013,3,35.1,18.2,4.0,66.0,2.5,1.0,8.9
Rangpur,2013,4,35.7,21.4,115.0,70.0,2.3,3.6,7.0
Rangpur,2013,5,36.8,23.7,383.0,82.0,2.6,6.4,4.4
Rangpur,2013,6,37.0,26.4,327.0,81.0,2.2,6.1,5.4
Rangpur,2013,7,34.5,26.8,296.0,81.0,2.2,6.9,5.1
Rangpur,2013,8,36.0,26.2,268.0,84.0,2.2,6.6,4.6
Rangpur,2013,9,35.5,26.1,229.0,82.0,2.1,5.0,6.4
Rangpur,2013,10,33.4,23.2,280.0,84.0,2.2,4.4,5.1
